title,year,author
Synthetic Difference-in-Differences,2021,"['Arkhangelsky, Dmitry', 'Athey, Susan', 'Hirshberg, David A.', 'Imbens, Guido W.', 'Wager, Stefan']"
Sectoral Media Focus and Aggregate Fluctuations,2021,"['Chahrour, Ryan', 'Nimark, Kristoffer', 'Pitschner, Stefan']"
"Product Innovation, Product Diversification, and Firm Growth: Evidence from Japan's Early Industrialization",2021,"['Braguinsky, Serguey', 'Ohyama, Atsushi', 'Okazaki, Tetsuji', 'Syverson, Chad']"
Venting Out: Exports during a Domestic Slump,2021,"['Almunia, Miguel', 'Antras, Pol', 'Lopez-Rodriguez, David', 'Morales, Eduardo']"
"Market Entry, Fighting Brands, and Tacit Collusion: Evidence from the French Mobile Telecommunications Market",2021,"['Bourreau, Marc', 'Sun, Yutec', 'Verboven, Frank']"
The Effect of High-Tech Clusters on the Productivity of Top Inventors,2021,"['Moretti, Enrico']"
From Mad Men to Maths Men: Concentration and Buyer Power in Online Advertising,2021,"['Decarolis, Francesco', 'Rovigatti, Gabriele']"
"Mistakes, Overconfidence, and the Effect of Sharing on Detecting Lies",2021,"['Serra-Garcia, Marta', 'Gneezy, Uri']"
Oligopolistic Price Leadership and Mergers: The United States Beer Industry,2021,"['Miller, Nathan H.', 'Sheu, Gloria', 'Weinberg, Matthew C.']"
"Media, Pulpit, and Populist Persuasion: Evidence from Father Coughlin",2021,"['Wang, Tianyi']"
Inattention and Switching Costs as Sources of Inertia in Medicare Part D,2021,"['Heiss, Florian', 'McFadden, Daniel', 'Winter, Joachim', 'Wuppermann, Amelie', 'Zhou, Bo']"
Daily Labor Supply and Adaptive Reference Points,2021,"['Thakral, Neil', 'To, Linh T.']"
Digitization and Pre-purchase Information: The Causal and Welfare Impacts of Reviews and Crowd Ratings,2021,"['Reimers, Imke', 'Waldfogel, Joel']"
Efficiency and Equity Impacts of Energy Subsidies,2021,"['Hahn, Robert W.', 'Metcalfe, Robert D.']"
When Does Regulation Distort Costs? Lessons from Fuel Procurement in US Electricity Generation: Reply,2021,"['Cicala, Steve']"
"Social Media, News Consumption, and Polarization: Evidence from a Field Experiment",2021,"[""Levy, Ro'ee""]"
Exchange Rates and Prices: Evidence from the 2015 Swiss Franc Appreciation,2021,"['Auer, Raphael', 'Burstein, Ariel', 'Lein, Sarah M.']"
The Nature of Firm Growth,2021,"['Sterk, Vincent', 'Sedlacek, Petr', 'Pugsley, Benjamin']"
Lack of Selection and Limits to Delegation: Firm Dynamics in Developing Countries,2021,"['Akcigit, Ufuk', 'Alp, Harun', 'Peters, Michael']"
Changing Business Dynamism and Productivity: Shocks versus Responsiveness,2020,"['Decker, Ryan A.', 'Haltiwanger, John', 'Jarmin, Ron S.', 'Miranda, Javier']"
Discounts and Deadlines in Consumer Search,2020,"['Coey, Dominic', 'Larsen, Bradley J.', 'Platt, Brennan C.']"
Competition and Entry in Agricultural Markets: Experimental Evidence from Kenya,2020,"['Bergquist, Lauren Falcao', 'Dinerstein, Michael']"
Small and Large Firms over the Business Cycle,2020,"['Crouzet, Nicolas', 'Mehrotra, Neil R.']"
Upping the Ante: The Equilibrium Effects of Unconditional Grants to Private Schools,2020,"['Andrabi, Tahir', 'Das, Jishnu', 'Khwaja, Asim I.', 'Ozyurt, Selcuk', 'Singh, Niharika']"
"Artificial Intelligence, Algorithmic Pricing, and Collusion",2020,"['Calvano, Emilio', 'Calzolari, Giacomo', 'Denicolo, Vincenzo', 'Pastorello, Sergio']"
Importing Political Polarization? The Electoral Consequences of Rising Trade Exposure,2020,"['Autor, David', 'Dorn, David', 'Hanson, Gordon', 'Majlesi, Kaveh']"
Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,2020,"['de Chaisemartin, Clement', ""D'Haultfoeuille, Xavier""]"
Ultimatum Bargaining with Rational Inattention,2020,"['Ravid, Doron']"
"Bartik Instruments: What, When, Why, and How",2020,"['Goldsmith-Pinkham, Paul', 'Sorkin, Isaac', 'Swift, Henry']"
The Production Relocation and Price Effects of US Trade Policy: The Case of Washing Machines,2020,"['Flaaen, Aaron', 'Hortacsu, Ali', 'Tintelnot, Felix']"
Tax-Exempt Lobbying: Corporate Philanthropy as a Tool for Political Influence,2020,"['Bertrand, Marianne', 'Bombardini, Matilde', 'Fisman, Raymond', 'Trebbi, Francesco']"
The Competitive Impact of Vertical Integration by Multiproduct Firms,2020,"['Luco, Fernando', 'Marshall, Guillermo']"
Regulation by Shaming: Deterrence Effects of Publicizing Violations of Workplace Safety and Health Laws,2020,"['Johnson, Matthew S.']"
Building Nations through Shared Experiences: Evidence from African Football,2020,"['Depetris-Chauvin, Emilio', 'Durante, Ruben', 'Campante, Filipe']"
Why Special Economic Zones? Using Trade Policy to Discriminate across Importers,2020,"['Grant, Matthew']"
The Reach of Radio: Ending Civil Conflict through Rebel Demobilization,2020,"['Armand, Alex', 'Atwell, Paul', 'Gomes, Joseph F.']"
Industrial Espionage and Productivity,2020,"['Glitz, Albrecht', 'Meyersson, Erik']"
Endogenous Monitoring in a Partnership Game,2020,"['Sanktjohanser, Anna']"
The Welfare Effects of Social Media,2020,"['Allcott, Hunt', 'Braghieri, Luca', 'Eichmeyer, Sarah', 'Gentzkow, Matthew']"
Online Privacy and Information Disclosure by Consumers,2020,"['Ichihashi, Shota']"
"Factory Productivity and the Concession System of Incorporation in Late Imperial Russia, 1894-1908",2020,"['Gregg, Amanda G.']"
"Regulating Innovation with Uncertain Quality: Information, Risk, and Access in Medical Devices",2020,"['Grennan, Matthew', 'Town, Robert J.']"
Does Strategic Ability Affect Efficiency? Evidence from Electricity Markets,2019,"['Hortacsu, Ali', 'Luco, Fernando', 'Puller, Steven L.', 'Zhu, Dongni']"
Does Regulatory Jurisdiction Affect the Quality of Investment-Adviser Regulation?,2019,"['Charoenwong, Ben', 'Kwan, Alan', 'Umar, Tarik']"
Firms' Internal Networks and Local Economic Shocks,2019,"['Giroud, Xavier', 'Mueller, Holger M.']"
Equilibrium Effects of Firm Subsidies,2019,"['Rotemberg, Martin']"
How Efficient Is Dynamic Competition? The Case of Price as Investment,2019,"['Besanko, David', 'Doraszelski, Ulrich', 'Kryukov, Yaroslav']"
Bank Networks and Systemic Risk: Evidence from the National Banking Acts,2019,"['Anderson, Haelim', 'Paddrik, Mark', 'Wang, Jessie Jiaxu']"
Brands in Motion: How Frictions Shape Multinational Production,2019,"['Head, Keith', 'Mayer, Thierry']"
Consumers as Tax Auditors,2019,"['Naritomi, Joana']"
Optimal Dynamic Allocation of Attention,2019,"['Che, Yeon-Koo', 'Mierendorff, Konrad']"
"Frictions in a Competitive, Regulated Market: Evidence from Taxis",2019,"['Frechette, Guillaume R.', 'Lizzeri, Alessandro', 'Salz, Tobias']"
Comparing UK Tax Returns of Foreign Multinationals to Matched Domestic Firms,2019,"['Bilicka, Katarzyna Anna']"
Missing Growth from Creative Destruction,2019,"['Aghion, Philippe', 'Bergeaud, Antonin', 'Boppart, Timo', 'Klenow, Peter J.', 'Li, Huiyu']"
Identification of and Correction for Publication Bias,2019,"['Andrews, Isaiah', 'Kasy, Maximilian']"
Who Pays for the Minimum Wage?,2019,"['Harasztosi, Peter', 'Lindner, Attila']"
The Impact of Media Censorship: 1984 or Brave New World?,2019,"['Chen, Yuyu', 'Yang, David Y.']"
Tourism and Economic Development: Evidence from Mexico's Coastline,2019,"['Faber, Benjamin', 'Gaubert, Cecile']"
Test Design and Minimum Standards,2019,"['DeMarzo, Peter M.', 'Kremer, Ilan', 'Skrzypacz, Andrzej']"
Differentiated Durable Goods Monopoly: A Robust Coase Conjecture,2019,"['Nava, Francesco', 'Schiraldi, Pasquale']"
Structural Interpretation of Vector Autoregressions with Incomplete Identification: Revisiting the Role of Oil Supply and Demand Shocks,2019,"['Baumeister, Christiane', 'Hamilton, James D.']"
Incentivizing Better Quality of Care: The Role of Medicaid and Competition in the Nursing Home Industry,2019,"['Hackmann, Martin B.']"
What Drives Differences in Management Practices?,2019,"['Bloom, Nicholas', 'Brynjolfsson, Erik', 'Foster, Lucia', 'Jarmin, Ron', 'Patnaik, Megha', 'Saporta-Eksten, Itay']"
WTO Accession and Performance of Chinese Manufacturing Firms: Corrigendum,2019,"['Brandt, Loren', 'Van Biesebroeck, Johannes', 'Wang, Luhang', 'Zhang, Yifan']"
"(Mis)Allocation, Market Power, and Global Oil Extraction",2019,"['Asker, John', 'Collard-Wexler, Allan', 'De Loecker, Jan']"
Large Firm Dynamics and the Business Cycle,2019,"['Carvalho, Vasco M.', 'Grassi, Basile']"
The Arrival of Fast Internet and Employment in Africa,2019,"['Hjort, Jonas', 'Poulsen, Jonas']"
Quality Overprovision in Cable Television Markets,2019,"['Crawford, Gregory S.', 'Shcherbakov, Oleksandr', 'Shum, Matthew']"
Research and the Approval Process: The Organization of Persuasion,2019,"['Henry, Emeric', 'Ottaviani, Marco']"
Fairness and Frictions: The Impact of Unequal Raises on Quit Behavior,2019,"['Dube, Arindrajit', 'Giuliano, Laura', 'Leonard, Jonathan']"
Learning to Coordinate: A Study in Retail Gasoline,2019,"['Byrne, David P.', 'de Roos, Nicolas']"
The Social Value of Financial Expertise,2019,"['Kurlat, Pablo']"
Demand and Supply of Infrequent Payments as a Commitment Device: Evidence from Kenya,2019,"['Casaburi, Lorenzo', 'Macchiavello, Rocco']"
"Drilling Like There's No Tomorrow: Bankruptcy, Insurance, and Environmental Risk",2019,"['Boomhower, Judson']"
"The Cyclicality of Sales, Regular and Effective Prices: Business Cycle and Policy Implications: Reply",2019,"['Coibion, Olivier', 'Gorodnichenko, Yuriy', 'Hong, Gee Hee']"
The Long-Term Effects of Management and Technology Transfers,2019,"['Giorcelli, Michela']"
Some Causal Effects of an Industrial Policy,2019,"['Criscuolo, Chiara', 'Martin, Ralf', 'Overman, Henry G.', 'Van Reenen, John']"
"Why Is Pollution from US Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",2018,"['Shapiro, Joseph S.', 'Walker, Reed']"
Identifying Industry Margins with Price Constraints: Structural Estimation on Pharmaceuticals,2018,"['Dubois, Pierre', 'Lasio, Laura']"
"Market Integration, Demand, and the Growth of Firms: Evidence from a Natural Experiment in India",2018,"['Jensen, Robert', 'Miller, Nolan H.']"
"Innovation, Reallocation, and Growth",2018,"['Acemoglu, Daron', 'Akcigit, Ufuk', 'Alp, Harun', 'Bloom, Nicholas', 'Kerr, William']"
Temporary Protection and Technology Adoption: Evidence from the Napoleonic Blockade,2018,"['Juhasz, Reka']"
In Search of Labor Demand,2018,"['Beaudry, Paul', 'Green, David A.', 'Sand, Ben M.']"
Media Bias in China,2018,"['Qin, Bei', 'Stromberg, David', 'Wu, Yanhui']"
From Final Goods to Inputs: The Protectionist Effect of Rules of Origin,2018,"['Conconi, Paola', 'Garcia-Santana, Manuel', 'Puccio, Laura', 'Venturini, Roberto']"
Innovation and Production in the Global Economy,2018,"['Arkolakis, Costas', 'Ramondo, Natalia', 'Rodriguez-Clare, Andres', 'Yeaple, Stephen']"
University Innovation and the Professor's Privilege,2018,"['Hvide, Hans K.', 'Jones, Benjamin F.']"
Consumer Price Search and Platform Design in Internet Commerce,2018,"['Dinerstein, Michael', 'Einav, Liran', 'Levin, Jonathan', 'Sundaresan, Neel']"
Do Recessions Accelerate Routine-Biased Technological Change? Evidence from Vacancy Postings,2018,"['Hershbein, Brad', 'Kahn, Lisa B.']"
Asymmetric Information and Imperfect Competition in Lending Markets,2018,"['Crawford, Gregory S.', 'Pavanini, Nicola', 'Schivardi, Fabiano']"
Investment Strategy and Selection Bias: An Equilibrium Perspective on Overoptimism,2018,"['Jehiel, Philippe']"
Trucks without Bailouts: Equilibrium Product Characteristics for Commercial Vehicles,2018,"['Wollmann, Thomas G.']"
Corporate Finance and Monetary Policy,2018,"['Rocheteau, Guillaume', 'Wright, Randall', 'Zhang, Cathy']"
Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,2018,"['Donaldson, Dave']"
Real Effects of Information Frictions: When the States and the Kingdom Became United,2018,"['Steinwender, Claudia']"
Just Starting Out: Learning and Equilibrium in a New Market,2018,"['Doraszelski, Ulrich', 'Lewis, Gregory', 'Pakes, Ariel']"
Export Destinations and Input Prices,2018,"['Bastos, Paulo', 'Silva, Joana', 'Verhoogen, Eric']"
"Trade, Quality Upgrading, and Input Linkages: Theory and Evidence from Colombia",2018,"['Fieler, Ana Cecilia', 'Eslava, Marcela', 'Xu, Daniel Yi']"
The Micro Origins of International Business-Cycle Comovement,2018,"['di Giovanni, Julian', 'Levchenko, Andrei A.', 'Mejean, Isabelle']"
Not So Demanding: Demand Structure and Firm Behavior,2017,"['Mrazova, Monika', 'Neary, J. Peter']"
Announcements of Support and Public Good Provision,2017,"['Kessler, Judd B.']"
Valuing Alternative Work Arrangements,2017,"['Mas, Alexandre', 'Pallais, Amanda']"
Why Do People Give? Testing Pure and Impure Altruism,2017,"['Ottoni-Wilhelm, Mark', 'Vesterlund, Lise', 'Xie, Huan']"
"The Cyclicality of Sales, Regular, and Effective Prices: Business Cycle and Policy Implications: Comment",2017,"['Gagnon, Etienne', 'Lopez-Salido, David', 'Sockin, Jason']"
The Growth Potential of Startups over the Business Cycle,2017,"['Sedlacek, Petr', 'Sterk, Vincent']"
"The Wind of Change: Maritime Technology, Trade, and Economic Development",2017,"['Pascali, Luigi']"
WTO Accession and Performance of Chinese Manufacturing Firms,2017,"['Brandt, Loren', 'Van Biesebroeck, Johannes', 'Wang, Luhang', 'Zhang, Yifan']"
Bias in Cable News: Persuasion and Polarization,2017,"['Martin, Gregory J.', 'Yurukoglu, Ali']"
The Margins of Global Sourcing: Theory and Evidence from US Firms,2017,"['Antras, Pol', 'Fort, Teresa C.', 'Tintelnot, Felix']"
"Hayek, Local Information, and Commanding Heights: Decentralizing State-Owned Enterprises in China",2017,"['Huang, Zhangkai', 'Li, Lixing', 'Ma, Guangrong', 'Xu, Lixin Colin']"
Multi-category Competition and Market Power: A Model of Supermarket Pricing,2017,"['Thomassen, Oyvind', 'Smith, Howard', 'Seiler, Stephan', 'Schiraldi, Pasquale']"
Identifying and Spurring High-Growth Entrepreneurship: Experimental Evidence from a Business Plan Competition,2017,"['McKenzie, David']"
Team Incentives and Performance: Evidence from a Retail Chain,2017,"['Friebel, Guido', 'Heinz, Matthias', 'Krueger, Miriam', 'Zubanov, Nikolay']"
Buyer-Optimal Learning and Monopoly Pricing,2017,"['Roesler, Anne-Katrin', 'Szentes, Balazs']"
Contracts as a Barrier to Entry in Markets with Nonpivotal Buyers,2017,"['Bedre-Defolie, Ozlem', 'Biglaiser, Gary']"
Incomplete Contracts and Control,2017,"['Hart, Oliver']"
Eponymous Entrepreneurs,2017,"['Belenzon, Sharon', 'Chatterji, Aaron K.', 'Daley, Brendan']"
This Mine Is Mine! How Minerals Fuel Conflicts in Africa,2017,"['Berman, Nicolas', 'Couttenier, Mathieu', 'Rohner, Dominic', 'Thoenig, Mathias']"
A Theory of Crowdfunding: A Mechanism Design Approach with Demand Uncertainty and Moral Hazard,2017,"['Strausz, Roland']"
"Big Banks, Idiosyncratic Volatility, and Systemic Risk",2017,"['Fernholz, Ricardo T.', 'Koch, Christoffer']"
Is American Health Care Uniquely Inefficient? Evidence from Prescription Drugs,2017,"['Kyle, Margaret', 'Williams, Heidi']"
Government-Academic Partnerships in Randomized Evaluations: The Case of Inappropriate Prescribing,2017,"['Sacarny, Adam', 'Yokum, David', 'Agrawal, Shantanu']"
Worker Betas: Five Facts about Systematic Earnings Risk,2017,"['Guvenen, Fatih', 'Schulhofer-Wohl, Sam', 'Song, Jae', 'Yogo, Motohiro']"
Wage Inequality and Firm Growth,2017,"['Mueller, Holger M.', 'Ouimet, Paige P.', 'Simintzi, Elena']"
Trade and Manufacturing Jobs in Germany,2017,"['Dauth, Wolfgang', 'Findeisen, Sebastian', 'Suedekum, Jens']"
Transferability of Skills across Sectors and Heterogeneous Displacement Costs,2017,"['Yi, Moises', 'Mueller, Steffen', 'Stegmaier, Jens']"
"Declining Dynamism, Allocative Efficiency, and the Productivity Slowdown",2017,"['Decker, Ryan A.', 'Haltiwanger, John', 'Jarmin, Ron S.', 'Miranda, Javier']"
Endogenous Appropriability,2017,"['Gans, Joshua S.', 'Stern, Scott']"
Which Entrepreneurs Are Coachable and Why?,2017,"['Bryan, Kevin A.', 'Tilcsik, Andras', 'Zhu, Brooklynn']"
Gender Gap in High-Growth Ventures: Evidence from a University Venture Mentoring Program,2017,"['Scott, Erin L.', 'Shu, Pian']"
The Impact of Entrepreneurship Programs on Minorities,2017,"['Lyons, Elizabeth', 'Zhang, Laurina']"
Concentrating on the Fall of the Labor Share,2017,"['Autor, David', 'Dorn, David', 'Katz, Lawrence F.', 'Patterson, Christina', 'Van Reenen, John']"
Shopping While Female: Who Pays Higher Prices and Why?,2017,"['Fitzpatrick, Anne']"
Geographic Dispersion of Economic Shocks: Evidence from the Fracking Revolution,2017,"['Feyrer, James', 'Mansur, Erin T.', 'Sacerdote, Bruce']"
Financing Innovation: Evidence from R&D Grants,2017,"['Howell, Sabrina T.']"
Unplanned Purchases and Retail Competition,2017,"['Johnson, Justin P.']"
Modeling the Revolving Revolution: The Debt Collection Channel,2017,"['Drozd, Lukasz A.', 'Serrano-Padial, Ricardo']"
A Structural Model of the Retail Market for Illicit Drugs,2017,"['Galenianos, Manolis', 'Gavazza, Alessandro']"
Inflation Dynamics during the Financial Crisis,2017,"['Gilchrist, Simon', 'Schoenle, Raphael', 'Sim, Jae', 'Zakrajsek, Egon']"
Price Cutting and Business Stealing in Imperfect Cartels,2017,"['Bernheim, B. Douglas', 'Madsen, Erik']"
"In with the Big, Out with the Small: Removing Small-Scale Reservations in India",2017,"['Martin, Leslie A.', 'Nataraj, Shanthi', 'Harrison, Ann E.']"
Are Online and Offline Prices Similar? Evidence from Large Multi-channel Retailers,2017,"['Cavallo, Alberto']"
"Price Setting in Online Markets: Basic Facts, International Comparisons, and Cross-Border Integration",2017,"['Gorodnichenko, Yuriy', 'Talavera, Oleksandr']"
"Networks, Markets, and Inequality",2017,"['Gagnon, Julien', 'Goyal, Sanjeev']"
A Price Theory of Multi-sided Platforms: Comment,2018,"['Tan, Hongru', 'Wright, Julian']"
Income-Induced Expenditure Switching,2016,"['Bems, Rudolfs', 'di Giovanni, Julian']"
Are There Environmental Benefits from Driving Electric Vehicles? The Importance of Local Factors,2016,"['Holland, Stephen P.', 'Mansur, Erin T.', 'Muller, Nicholas Z.', 'Yates, Andrew J.']"
Firm Size Distortions and the Productivity Distribution: Evidence from France,2016,"['Garicano, Luis', 'Lelarge, Claire', 'Van Reenen, John']"
Taxing Top CEO Incomes,2016,"['Ales, Laurence', 'Sleet, Christopher']"
Intertemporal Price Discrimination: Dynamic Arrivals and Changing Values,2016,"['Garrett, Daniel F.']"
Regional Redistribution through the US Mortgage Market,2016,"['Hurst, Erik', 'Keys, Benjamin J.', 'Seru, Amit', 'Vavra, Joseph']"
Adverse Selection and Auction Design for Internet Display Advertising,2016,"['Arnosti, Nick', 'Beck, Marissa', 'Milgrom, Paul']"
The Allocation of Future Business: Dynamic Relational Contracts with Multiple Agents,2016,"['Andrews, Isaiah', 'Barron, Daniel']"
Asymmetric Information and Intermediation Chains,2016,"['Glode, Vincent', 'Opp, Christian']"
Properties of the Combinatorial Clock Auction,2016,"['Levin, Jonathan', 'Skrzypacz, Andrzej']"
"Bailouts, Time Inconsistency, and Optimal Regulation: A Macroeconomic View",2016,"['Chari, V. V.', 'Kehoe, Patrick J.']"
Effects of Deregulation and Consolidation of the Broadcast Television Industry,2016,"['Stahl, Jessica Calfee']"
Health Care Exceptionalism? Performance and Allocation in the US Health Care Sector,2016,"['Chandra, Amitabh', 'Finkelstein, Amy', 'Sacarny, Adam', 'Syverson, Chad']"
Endogenous Skill Acquisition and Export Manufacturing in Mexico,2016,"['Atkin, David']"
Tracing Value-Added and Double Counting in Gross Exports: Comment,2016,"['Los, Bart', 'Timmer, Marcel P.', 'de Vries, Gaaitzen J.']"
"Sequential Markets, Market Power, and Arbitrage",2016,"['Ito, Koichiro', 'Reguant, Mar']"
Discounts as a Barrier to Entry,2016,"['Ide, Enrique', 'Montero, Juan-Pablo', 'Figueroa, Nicolas']"
The Surprisingly Swift Decline of US Manufacturing Employment,2016,"['Pierce, Justin R.', 'Schott, Peter K.']"
Rational Inattention and Organizational Focus,2016,"['Dessein, Wouter', 'Galeotti, Andrea', 'Santos, Tano']"
Domestic Value Added in Exports: Theory and Firm Evidence from China,2016,"['Kee, Hiau Looi', 'Tang, Heiwai']"
Gender Diversity on Corporate Boards: Do Women Contribute Unique Skills?,2016,"['Kim, Daehyun', 'Starks, Laura T.']"
Russia's Billionaires,2016,"['Treisman, Daniel']"
The Role of Startups in Structural Transformation,2016,"['Dent, Robert C.', 'Karahan, Fatih', 'Pugsley, Benjamin', 'Sahin, Aysegul']"
Firm Entry and Macroeconomic Dynamics: A State-Level Analysis,2016,"['Gourio, Francois', 'Messer, Todd', 'Siemer, Michael']"
Declining Business Dynamism: What We Know and the Way Forward,2016,"['Decker, Ryan A.', 'Haltiwanger, John', 'Jarmin, Ron S.', 'Miranda, Javier']"
"Patent Licensing, Technology Transfer, and Innovation",2016,"['Lemley, Mark A.', 'Feldman, Robin']"
Disruptive Change in the Taxi Business: The Case of Uber,2016,"['Cramer, Judd', 'Krueger, Alan B.']"
Should the US Eliminate Entry Barriers to the Practice of Law? Perspectives Shaped by Industry Deregulation,2016,"['Winston, Clifford', 'Karpilow, Quentin']"
Agglomeration of Invention in the Bay Area: Not Just ICT,2016,"['Forman, Chris', 'Goldfarb, Avi', 'Greenstein, Shane']"
Copyright Infringement in the Market for Digital Images,2016,"['Luo, Hong', 'Mortimer, Julie Holland']"
The Rapid Adoption of Data-Driven Decision-Making,2016,"['Brynjolfsson, Erik', 'McElheran, Kristina']"
"Regulation, Institutions, and Productivity: New Macroeconomic Evidence from OECD Countries",2016,"['Egert, Balazs']"
"Market Regulations, Prices, and Productivity",2016,"['Cette, Gilbert', 'Lopez, Jimmy', 'Mairesse, Jacques']"
Firm-Level Dispersion in Productivity: Is the Devil in the Details?,2016,"['Foster, Lucia', 'Grim, Cheryl', 'Haltiwanger, John', 'Wolf, Zoltan']"
Appliance Ownership and Aspirations among Electric Grid and Home Solar Households in Rural Kenya,2016,"['Lee, Kenneth', 'Miguel, Edward', 'Wolfram, Catherine']"
Richard T. Ely Lecture: Restoring Rational Choice: The Challenge of Consumer Financial Regulation,2016,"['Campbell, John Y.']"
How Do Electricity Shortages Affect Industry? Evidence from India,2016,"['Allcott, Hunt', 'Collard-Wexler, Allan', ""O'Connell, Stephen D.""]"
On Communication and Collusion,2016,"['Awaya, Yu', 'Krishna, Vijay']"
The Politics of Compromise,2016,"['Bonatti, Alessandro', 'Rantakari, Heikki']"
Are Sticky Prices Costly? Evidence from the Stock Market,2016,"['Gorodnichenko, Yuriy', 'Weber, Michael']"
Patents and the Global Diffusion of New Drugs,2016,"['Cockburn, Iain M.', 'Lanjouw, Jean O.', 'Schankerman, Mark']"
The Market Impacts of Pharmaceutical Product Patents in Developing Countries: Evidence from India,2016,"['Duggan, Mark', 'Garthwaite, Craig', 'Goyal, Aparajita']"
"R&D, International Sourcing, and the Joint Impact on Firm Performance",2015,"['Boler, Esther Ann', 'Moxnes, Andreas', 'Ulltveit-Moe, Karen Helene']"
Imported Inputs and Productivity,2015,"['Halpern, Laszlo', 'Koren, Miklos', 'Szeidl, Adam']"
The Housing Market Impacts of Shale Gas Development,2015,"['Muehlenbachs, Lucija', 'Spiller, Elisheba', 'Timmins, Christopher']"
Media Influences on Social Outcomes: The Impact of MTV's 16 and Pregnant on Teen Childbearing,2015,"['Kearney, Melissa S.', 'Levine, Phillip B.']"
Exclusive Contracts and Market Dominance,2015,"['Calzolari, Giacomo', 'Denicolo, Vincenzo']"
"Competition, Markups, and the Gains from International Trade",2015,"['Edmond, Chris', 'Midrigan, Virgiliu', 'Xu, Daniel Yi']"
Non-optimal Mechanism Design,2015,"['Hartline, Jason D.', 'Lucier, Brendan']"
Efficient Firm Dynamics in a Frictional Labor Market,2015,"['Kaas, Leo', 'Kircher, Philipp']"
The Value of Relationships: Evidence from a Supply Shock to Kenyan Rose Exports,2015,"['Macchiavello, Rocco', 'Morjaria, Ameet']"
Evaluating Behaviorally Motivated Policy: Experimental Evidence from the Lightbulb Market,2015,"['Allcott, Hunt', 'Taubinsky, Dmitry']"
Estimating a War of Attrition: The Case of the US Movie Theater Industry,2015,"['Takahashi, Yuya']"
Vertical Contracting with Informational Opportunism,2015,"['Dequiedt, Vianney', 'Martimort, David']"
"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2015,"['Braguinsky, Serguey', 'Ohyama, Atsushi', 'Okazaki, Tetsuji', 'Syverson, Chad']"
Do Firms Underinvest in Long-Term Research? Evidence from Cancer Clinical Trials,2015,"['Budish, Eric', 'Roin, Benjamin N.', 'Williams, Heidi']"
An Empirical Model of the Medical Match,2015,"['Agarwal, Nikhil']"
Consumer Search and Double Marginalization,2015,"['Janssen, Maarten', 'Shelegia, Sandro']"
Market Failures and Public Policy,2015,"['Tirole, Jean']"
(Indirect) Input Linkages,2015,"['Eslava, Marcela', 'Fieler, Ana Cecilia', 'Xu, Daniel Yi']"
Markup and Cost Dispersion across Firms: Direct Evidence from Producer Surveys in Pakistan,2015,"['Atkin, David', 'Chaudhry, Azam', 'Chaudhry, Shamyla', 'Khandelwal, Amit K.', 'Verhoogen, Eric']"
